Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::FloorspaceMapper
2,Restaurant 1,URBANopt::Scenario::FloorspaceMapper
3,Restaurant 10,URBANopt::Scenario::FloorspaceMapper
4,Restaurant 12,URBANopt::Scenario::FloorspaceMapper
5,Restaurant 14,URBANopt::Scenario::FloorspaceMapper
6,Restaurant 15,URBANopt::Scenario::FloorspaceMapper
7,Office 1,URBANopt::Scenario::FloorspaceMapper
8,Hospital 1,URBANopt::Scenario::FloorspaceMapper
9,Hospital 2,URBANopt::Scenario::FloorspaceMapper
10,Mixed use 2,URBANopt::Scenario::FloorspaceMapper
11,Restaurant 13,URBANopt::Scenario::FloorspaceMapper
12,Mall 1,URBANopt::Scenario::FloorspaceMapper
13,Hotel 1,URBANopt::Scenario::FloorspaceMapper
