Feature Id,Feature Name,Mapper Class
1,Mixed_use 1,URBANopt::Scenario::BaselineMapper
2,Restaurant 1,URBANopt::Scenario::BaselineMapper
3,Restaurant 10,URBANopt::Scenario::BaselineMapper
4,Restaurant 12,URBANopt::Scenario::BaselineMapper
5,Restaurant 14,URBANopt::Scenario::BaselineMapper
6,Restaurant 15,URBANopt::Scenario::BaselineMapper
7,Office 1,URBANopt::Scenario::BaselineMapper
8,Hospital 1,URBANopt::Scenario::BaselineMapper
9,Hospital 2,URBANopt::Scenario::BaselineMapper
10,Mixed use 2,URBANopt::Scenario::BaselineMapper
11,Restaurant 13,URBANopt::Scenario::BaselineMapper
12,Mall 1,URBANopt::Scenario::BaselineMapper
13,Hotel 1,URBANopt::Scenario::BaselineMapper
14,Residential 1,URBANopt::Scenario::BaselineMapper
15,Residential 2,URBANopt::Scenario::BaselineMapper
16,Residential 3,URBANopt::Scenario::BaselineMapper
