Region,Country,Station,Latitude,Longitude,"Ts,avg","Ts,amplitude,1","Ts,amplitude,2",PL1,PL2
5,USA,Adak NAS    ,51.88,-176.65,5.4,4.4,-1.1,41,61
5,USA,Ambler     ,67.1,-157.85,-0.5,8.5,-1.2,25,-4
5,USA,Anaktuvuk Pass    ,68.13,-151.73,-3.4,9.8,-2.5,36,-20
5,USA,Anchorage-Elmendorf AFB    ,61.25,-149.8,5.6,9.3,-2.9,19,18
5,USA,Anchorage-Lake Hood Seaplane Base  ,61.18,-149.97,5.7,9.3,-2.3,23,12
5,USA,Anchorage-Merrill Field    ,61.22,-149.85,5.4,9.7,-3.1,26,15
5,USA,Anchorage Intl AP   ,61.18,-150,4.7,10.8,-2.3,24,25
5,USA,Aniak AP    ,61.58,-159.53,2.3,7.3,-2.8,29,25
5,USA,Annette Island AP   ,55.05,-131.57,8.9,5.8,-0.7,27,44
5,USA,Anvik     ,62.65,-160.18,2.4,8.3,-1.7,31,36
5,USA,Barrow-W Post-W Rogers AP  ,71.32,-156.62,-8,12.3,-1.1,44,-16
5,USA,Bethel AP    ,60.78,-161.83,1.9,8.1,-1.3,36,26
5,USA,Bettles Field    ,66.92,-151.52,-0.5,11.1,-2,22,-5
5,USA,Big Delta-Allen AAF   ,64,-145.72,3.7,12.3,-3.1,23,10
5,USA,Big River Lake   ,60.82,-152.3,5.1,9.9,-3.4,25,18
5,USA,Birchwood     ,61.42,-149.52,5.5,9.7,-2.5,19,15
5,USA,Chulitna     ,62.88,-149.83,2.9,7,-2.5,29,18
5,USA,Cold Bay AP   ,55.2,-162.72,5.1,5.4,-1,38,37
5,USA,Cordova     ,60.5,-145.5,5.1,7.8,-1.1,18,34
5,USA,Deadhorse     ,70.2,-148.48,-5.1,12.2,-4.4,47,-20
5,USA,Dillingham AWOS    ,59.05,-158.52,3.5,7,-3,26,30
5,USA,Eielson AFB    ,64.65,-147.1,2.1,9.6,-2.3,28,18
5,USA,Emmonak     ,62.78,-164.5,1.7,7.3,-1.3,38,43
5,USA,Fairbanks Intl AP   ,64.82,-147.85,2.4,11.6,-1.8,26,19
5,USA,Fort Yukon    ,66.57,-145.27,-0.7,11.1,-2.4,23,-8
5,USA,Gambell     ,63.78,-171.75,-0.5,5.1,-0.7,48,5
5,USA,Gulkana     ,62.15,-145.45,1.5,9.3,-0.4,28,22
