Schedule Name,Affected By Vacancy,Affected By Power Outage,Affected By Peak Shift
occupants,TRUE,FALSE,FALSE
lighting_interior,TRUE,TRUE,FALSE
lighting_exterior,TRUE,TRUE,FALSE
lighting_garage,TRUE,TRUE,FALSE
lighting_exterior_holiday,TRUE,TRUE,FALSE
cooking_range,TRUE,TRUE,TRUE
refrigerator,FALSE,TRUE,FALSE
extra_refrigerator,FALSE,TRUE,FALSE
freezer,FALSE,TRUE,FALSE
dishwasher,TRUE,TRUE,TRUE
clothes_washer,TRUE,TRUE,TRUE
clothes_dryer,TRUE,TRUE,TRUE
ceiling_fan,TRUE,TRUE,FALSE
plug_loads_other,TRUE,TRUE,FALSE
plug_loads_tv,TRUE,TRUE,FALSE
plug_loads_vehicle,TRUE,TRUE,FALSE
plug_loads_well_pump,TRUE,TRUE,FALSE
fuel_loads_grill,TRUE,TRUE,FALSE
fuel_loads_lighting,TRUE,TRUE,FALSE
fuel_loads_fireplace,TRUE,TRUE,FALSE
pool_pump,FALSE,TRUE,FALSE
pool_heater,FALSE,TRUE,FALSE
hot_tub_pump,FALSE,TRUE,FALSE
hot_tub_heater,FALSE,TRUE,FALSE
hot_water_dishwasher,TRUE,TRUE,FALSE
hot_water_clothes_washer,TRUE,TRUE,FALSE
hot_water_fixtures,TRUE,TRUE,FALSE
heating_setpoint,FALSE,FALSE,FALSE
cooling_setpoint,FALSE,FALSE,FALSE
water_heater_setpoint,FALSE,FALSE,FALSE
water_heater_operating_mode,FALSE,FALSE,FALSE
battery,FALSE,FALSE,FALSE
battery_charging,FALSE,FALSE,FALSE
battery_discharging,FALSE,FALSE,FALSE
