Option Name	Fraction Operable [frac]	Availability [days/week]	Seasons
None	0		
33% Operable Windows	0.33		
50% Operable Windows	0.5		
67% Operable Windows	0.67		
100% Operable Windows	1		
"Detailed Example: 67% Operable Windows, 3 Days/Week, Cooling Months Only"	0.67	3	cooling
			
"# Fraction Operable: Total window area for operable windows divided by total window area. The total open window area for natural ventilation is calculated using A) the operable fraction, B) the assumption that only some of the area of operable windows can be open, and C) the assumption that only some of that openable area is actually opened by occupants."			
# Availability: How many days per week windows can be opened by occupants.			
# Seasons: When during the year occupants open windows.			
