Option Name	Fuel Type	Annual Energy Use [therm/yr]	Usage Multiplier
None		0	
"Natural Gas, 25% Usage"	natural gas		0.25
"Natural Gas, 50% Usage"	natural gas		0.5
"Natural Gas, 75% Usage"	natural gas		0.75
"Natural Gas, 100% Usage"	natural gas		
"Natural Gas, 150% Usage"	natural gas		1.5
"Natural Gas, 200% Usage"	natural gas		2
"Natural Gas, 400% Usage"	natural gas		4
"Detailed Example: Natural Gas, 28 therm/yr"	natural gas	28	
			
# Fuel Type: The fuel type of the misc lighting.			
# Annual Energy Use: The annual energy consumption of the misc lighting.			
"# Usage Multiplier: Multiplier on the energy usage that can reflect, e.g., high/low usage occupants."			
