Option Name	Front Wall Is Adiabatic	Back Wall Is Adiabatic	Left Wall Is Adiabatic	Right Wall Is Adiabatic
None	FALSE	FALSE	FALSE	FALSE
1 Side: Front	TRUE	FALSE	FALSE	FALSE
1 Side: Back	FALSE	TRUE	FALSE	FALSE
1 Side: Left	FALSE	FALSE	TRUE	FALSE
1 Side: Right	FALSE	FALSE	FALSE	TRUE
"2 Sides: Front, Left"	TRUE	FALSE	TRUE	FALSE
"2 Sides: Front, Right"	TRUE	FALSE	FALSE	TRUE
"2 Sides: Back, Left"	FALSE	TRUE	TRUE	FALSE
"2 Sides: Back, Right"	FALSE	TRUE	FALSE	TRUE
"2 Sides: Front, Back"	TRUE	TRUE	FALSE	FALSE
"2 Sides: Left, Right"	FALSE	FALSE	TRUE	TRUE
"3 Sides: Front, Back, Left"	TRUE	TRUE	TRUE	FALSE
"3 Sides: Front, Back, Right"	TRUE	TRUE	FALSE	TRUE
"3 Sides: Front, Left, Right"	TRUE	FALSE	TRUE	TRUE
"3 Sides: Back, Left, Right"	FALSE	TRUE	TRUE	TRUE
				
# Front Wall Is Adiabatic: Whether the front wall of the dwelling unit is adiabatic.				
# Back Wall Is Adiabatic: Whether the back wall of the dwelling unit is adiabatic.				
# Left Wall Is Adiabatic: Whether the left wall of the dwelling unit is adiabatic.				
# Right Wall Is Adiabatic: Whether the right wall of the dwelling unit is adiabatic.				
