Option Name	Type	Cooling Efficiency Type	Cooling Efficiency	Cooling Compressor Type	Detailed Performance Data Capacity Type	Detailed Performance Data Cooling Outdoor Temperatures [F]	Detailed Performance Data Cooling Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Nom Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Min Speed COPs [W/W]	Detailed Performance Data Cooling Nom Speed COPs [W/W]	Detailed Performance Data Cooling Max Speed COPs [W/W]
None	none											
"Central AC, SEER2 7.6"	central air conditioner	SEER2	7.6	single stage								
"Central AC, SEER2 9.5"	central air conditioner	SEER2	9.5	single stage								
"Central AC, SEER2 12.4"	central air conditioner	SEER2	12.4	single stage								
"Central AC, SEER2 13.4"	central air conditioner	SEER2	13.4	single stage								
"Central AC, SEER2 13.8"	central air conditioner	SEER2	13.8	single stage								
"Central AC, SEER2 14.0"	central air conditioner	SEER2	14	single stage								
"Central AC, SEER2 14.3"	central air conditioner	SEER2	14.3	single stage								
"Central AC, SEER2 15.0"	central air conditioner	SEER2	15	single stage								
"Central AC, SEER2 16.0"	central air conditioner	SEER2	16	single stage								
"Central AC, SEER2 17.0"	central air conditioner	SEER2	17	two stage								
"Central AC, SEER2 18.0"	central air conditioner	SEER2	18	variable speed								
"Central AC, SEER2 19.0"	central air conditioner	SEER2	19	variable speed								
"Central AC, SEER2 20.0"	central air conditioner	SEER2	20	variable speed								
"Central AC, SEER2 21.0"	central air conditioner	SEER2	21	variable speed								
"Central AC, SEER2 22.0"	central air conditioner	SEER2	22	variable speed								
"Central AC, SEER2 23.0"	central air conditioner	SEER2	23	variable speed								
"Central AC, SEER2 24.0"	central air conditioner	SEER2	24	variable speed								
"Central AC, SEER2 25.0"	central air conditioner	SEER2	25	variable speed								
"Ductless Mini-Split AC, SEER2 14.5"	mini-split	SEER2	14.5	variable speed								
"Ductless Mini-Split AC, SEER2 16.0"	mini-split	SEER2	16	variable speed								
"Ductless Mini-Split AC, SEER2 17.0"	mini-split	SEER2	17	variable speed								
"Ductless Mini-Split AC, SEER2 18.0"	mini-split	SEER2	18	variable speed								
"Ductless Mini-Split AC, SEER2 19.0"	mini-split	SEER2	19	variable speed								
"Ductless Mini-Split AC, SEER2 20.0"	mini-split	SEER2	20	variable speed								
"Ductless Mini-Split AC, SEER2 21.0"	mini-split	SEER2	21	variable speed								
"Ductless Mini-Split AC, SEER2 22.0"	mini-split	SEER2	22	variable speed								
"Ductless Mini-Split AC, SEER2 23.0"	mini-split	SEER2	23	variable speed								
"Ductless Mini-Split AC, SEER2 24.0"	mini-split	SEER2	24	variable speed								
"Ductless Mini-Split AC, SEER2 25.0"	mini-split	SEER2	25	variable speed								
"Ductless Mini-Split AC, SEER2 26.0"	mini-split	SEER2	26	variable speed								
"Ductless Mini-Split AC, SEER2 27.0"	mini-split	SEER2	27	variable speed								
"Ductless Mini-Split AC, SEER2 28.0"	mini-split	SEER2	28	variable speed								
"Room AC, CEER 8.4"	room air conditioner	CEER	8.4									
"Room AC, CEER 9.7"	room air conditioner	CEER	9.7									
"Room AC, CEER 10.6"	room air conditioner	CEER	10.6									
"Room AC, CEER 11.0"	room air conditioner	CEER	11									
"Room AC, CEER 11.9"	room air conditioner	CEER	11.9									
"Room AC, CEER 13.1"	room air conditioner	CEER	13.1									
"Packaged Terminal AC, EER 8.5"	packaged terminal air conditioner	EER	8.5									
"Packaged Terminal AC, EER 9.8"	packaged terminal air conditioner	EER	9.8									
"Packaged Terminal AC, EER 10.7"	packaged terminal air conditioner	EER	10.7									
"Packaged Terminal AC, EER 11.9"	packaged terminal air conditioner	EER	11.9									
"Packaged Terminal AC, EER 13.2"	packaged terminal air conditioner	EER	13.2									
Evaporative Cooler	evaporative cooler											
