Option Name	Type	Cooling Efficiency Type	Cooling Efficiency	Cooling Compressor Type	Heating Efficiency Type	Heating Efficiency	Heating Capacity Retention Fraction [Frac]	Heating Capacity Retention Temp [F]	Compressor Lockout Temp [F]	Is Ducted	Crankcase Heater Watts [W]	Detailed Performance Data Capacity Type	Detailed Performance Data Heating Outdoor Temperatures [F]	Detailed Performance Data Heating Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Min Speed COPs [W/W]	Detailed Performance Data Heating Max Speed COPs [W/W]	Detailed Performance Data Cooling Outdoor Temperatures [F]	Detailed Performance Data Cooling Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Min Speed COPs [W/W]	Detailed Performance Data Cooling Max Speed COPs [W/W]
None	none																					
"Central HP, SEER 8, 6.0 HSPF"	air-to-air	SEER	8	single stage	HSPF	6																
"Central HP, SEER 10, 6.2 HSPF"	air-to-air	SEER	10	single stage	HSPF	6.2																
"Central HP, SEER 10, 6.8 HSPF"	air-to-air	SEER	10	single stage	HSPF	6.8																
"Central HP, SEER 10.3, 7.0 HSPF"	air-to-air	SEER	10.3	single stage	HSPF	7																
"Central HP, SEER 11.5, 7.5 HSPF"	air-to-air	SEER	11.5	single stage	HSPF	7.5																
"Central HP, SEER 13, 7.7 HSPF"	air-to-air	SEER	13	single stage	HSPF	7.7																
"Central HP, SEER 13, 7.7 HSPF, 5F Compressor Lockout"	air-to-air	SEER	13	single stage	HSPF	7.7	0.6	17	5													
"Central HP, SEER 13, 7.7 HSPF, 25F Compressor Lockout"	air-to-air	SEER	13	single stage	HSPF	7.7	0.6	17	25													
"Central HP, SEER 13, 7.7 HSPF, 30F Compressor Lockout"	air-to-air	SEER	13	single stage	HSPF	7.7	0.6	17	30													
"Central HP, SEER 13, 7.7 HSPF, Heating Capacity 17F"	air-to-air	SEER	13	single stage	HSPF	7.7	0.6	17														
