Option Name	Type	Cooling Efficiency Type	Cooling Efficiency	Cooling Compressor Type	Heating Efficiency Type	Heating Efficiency	Detailed Performance Data Capacity Type	Detailed Performance Data Heating Outdoor Temperatures [F]	Detailed Performance Data Heating Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Nom Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Min Speed COPs [W/W]	Detailed Performance Data Heating Nom Speed COPs [W/W]	Detailed Performance Data Heating Max Speed COPs [W/W]	Detailed Performance Data Cooling Outdoor Temperatures [F]	Detailed Performance Data Cooling Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Nom Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Min Speed COPs [W/W]	Detailed Performance Data Cooling Nom Speed COPs [W/W]	Detailed Performance Data Cooling Max Speed COPs [W/W]
None	none																				
"Central HP, SEER2 7.6, HSPF2 5.1"	air-to-air	SEER2	7.6	single stage	HSPF2	5.1															
"Central HP, SEER2 9.5, HSPF2 5.8"	air-to-air	SEER2	9.5	single stage	HSPF2	5.8															
"Central HP, SEER2 12.4, HSPF2 6.6"	air-to-air	SEER2	12.4	single stage	HSPF2	6.6															
"Central HP, SEER2 13.4, HSPF2 7.0"	air-to-air	SEER2	13.4	single stage	HSPF2	7															
"Central HP, SEER2 13.8, HSPF2 7.2"	air-to-air	SEER2	13.8	single stage	HSPF2	7.2															
"Central HP, SEER2 14.0, HSPF2 7.3"	air-to-air	SEER2	14	single stage	HSPF2	7.3															
"Central HP, SEER2 14.3, HSPF2 7.4"	air-to-air	SEER2	14.3	single stage	HSPF2	7.4															
"Central HP, SEER2 15.0, HSPF2 7.6"	air-to-air	SEER2	15	single stage	HSPF2	7.6															
"Central HP, SEER2 16.0, HSPF2 7.9"	air-to-air	SEER2	16	single stage	HSPF2	7.9															
"Central HP, SEER2 17.0, HSPF2 8.2"	air-to-air	SEER2	17	two stage	HSPF2	8.2															
"Central HP, SEER2 18.0, HSPF2 8.5"	air-to-air	SEER2	18	variable speed	HSPF2	8.5															
"Central HP, SEER2 19.0, HSPF2 8.7"	air-to-air	SEER2	19	variable speed	HSPF2	8.7															
"Central HP, SEER2 20.0, HSPF2 9.0"	air-to-air	SEER2	20	variable speed	HSPF2	9															
"Central HP, SEER2 21.0, HSPF2 9.2"	air-to-air	SEER2	21	variable speed	HSPF2	9.2															
"Central HP, SEER2 22.0, HSPF2 9.5"	air-to-air	SEER2	22	variable speed	HSPF2	9.5															
"Ductless Mini-Split HP, SEER2 13.7, HSPF2 7.4"	mini-split	SEER2	13.7	variable speed	HSPF2	7.4															
"Ductless Mini-Split HP, SEER2 14.5, HSPF2 7.7"	mini-split	SEER2	14.5	variable speed	HSPF2	7.7															
"Ductless Mini-Split HP, SEER2 16.0, HSPF2 8.1"	mini-split	SEER2	16	variable speed	HSPF2	8.1															
"Ductless Mini-Split HP, SEER2 17.0, HSPF2 8.5"	mini-split	SEER2	17	variable speed	HSPF2	8.5															
