Option Name	Configuration	Borefield Configuration	Loop Flow [gpm]	Boreholes Count [#]	Boreholes Length [ft]	Boreholes Spacing [ft]	Boreholes Diameter [in]	Grout Type	Pipe Type	Pipe Diameter	Pipe Shank Spacing [in]
None	none										
"Vertical Loop, Default"	vertical										
"Vertical Loop, Default, Specified Loop Flow"	vertical		1								
"Vertical Loop, Default, Specified Borehole Count"	vertical			2							
"Vertical Loop, Default, Specified Borehole Length"	vertical				300						
"Vertical Loop, Default, Specified Loop Flow and Borehole Count"	vertical		2	3							
"Vertical Loop, Default, Specified Borehole Count and Length"	vertical			4	400						
"Vertical Loop, Default, Specified Loop Flow and Borehole Length"	vertical		5		450						
"Vertical Loop, Default, Thermally Enhanced Grout"	vertical							thermally enhanced			
"Vertical Loop, Default, Thermally Enhanced Pipe"	vertical								thermally enhanced		
"Vertical Loop, Lopsided U Borefield, Detailed"	vertical	Lopsided U	10	9	315	16.4	5.9	standard	standard	"1"" pipe"	2.5
"Vertical Loop, Rectangular Borefield, Detailed"	vertical	Rectangle	1	2	100	3	5	thermally enhanced	thermally enhanced	"1"" pipe"	
											
Configuration: Configuration of the geothermal loop for ground-to-air heat pumps.											
Borefield Configuration: Borefield configuration of the geothermal loop.											
Loop Flow: Water flow rate through the geothermal loop.											
Boreholes Count: Number of boreholes.											
Boreholes Length: Average length of each vertical borehole.											
Boreholes Spacing: Distance between boreholes.											
Boreholes Diameter: Diameter of each borehole.											
Grout Type: Type of grout.											
Pipe Type: Type of pipe.											
Pipe Diameter: Diameter of the pipe.											
Pipe Shank Spacing: Center-to-center distance between two branches of a vertical U-tube.											
