Option Name	Type	Assembly R-Value [F-ft2-hr/Btu]	Source
"Wood Frame, Uninsulated"	WoodFrame	5.9	Home Energy Score
"Wood Frame, R-11"	WoodFrame	15.6	Home Energy Score
"Wood Frame, R-13"	WoodFrame	17.2	Home Energy Score
"Wood Frame, R-15"	WoodFrame	18.5	Home Energy Score
"Wood Frame, R-19"	WoodFrame	22.2	Home Energy Score
"Wood Frame, R-21"	WoodFrame	23.8	Home Energy Score
"Wood Frame, R-25"	WoodFrame	27	Home Energy Score
"Wood Frame, R-30"	WoodFrame	31.3	Home Energy Score
"Wood Frame, R-35"	WoodFrame	35.1	Home Energy Score
"Wood Frame, R-38"	WoodFrame	37	Home Energy Score
"Detailed Example: Wood Frame, Uninsulated, 2x6, 24"" o.c., 10% Framing, No Carpet/Subfloor"	WoodFrame	4.24	ASHRAE 140
"Detailed Example: Wood Frame, R-11, 2x6, 24"" o.c., 13% Framing, No Carpet/Subfloor"	WoodFrame	13.85	RESNET Publication 002
"Detailed Example: Wood Frame, R-11, 2x6, 24"" o.c., 10% Framing, No Carpet/Subfloor"	WoodFrame	14.15	ASHRAE 140
"Detailed Example: Wood Frame, U-0.064, 2006 IECC CZ 1-2"	WoodFrame	15.63	ANSI/RESNET/ICC 301
"Detailed Example: Wood Frame, U-0.047, 2006 IECC CZ 3, 4A, 4B"	WoodFrame	21.28	ANSI/RESNET/ICC 301
"Detailed Example: Wood Frame, U-0.033, 2006 IECC CZ 4C, 5-8"	WoodFrame	30.3	ANSI/RESNET/ICC 301
			
Assembly R-Value: Assembly R-value for the floor over the foundation.			
Type: The type of floor over the foundation.			
